loan_status,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
Charged Off,1066766,1300949,7200,7200,7200, 36 months,7.9,225.29,A,A4,"St. Mary's Health Care System, Inc.",3 years,RENT,68000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066766,,debt_consolidation,Bank of America Pay-Off Loan,306xx,GA,7.98,0,Jan-2002,0,,,5,0,8783,82.9,14,f,0,0,7730.87,7730.87,6744.17,907.62,14.9790583788,64.1,11.538,Nov-2014,225.29,,Apr-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1066613,1300801,26000,26000,25975, 60 months,16.77,642.96,D,D2,PepsiCo,10+ years,MORTGAGE,53000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066613,"  Borrower added on 12/16/11 > This is a home improvement that I'm planning to make. I'm also planning to consolidate some credit card debt of $12,000. The rest will go towards home improvements and repairs. Thank you for the consideration.<br>",home_improvement,Home Improvement,271xx,NC,11.77,0,Sep-1998,1,,,5,0,7560,72.7,14,f,0,0,9622.45,9613.3,3946.3,4391.9,0,1284.25,12.27,Feb-2013,642.96,,Jun-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1065648,1299754,7000,7000,6975, 60 months,11.71,154.69,B,B3,WA State vDSHS,6 years,MORTGAGE,69600,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065648,,credit_card,Debt consolidation,981xx,WA,26.22,0,Oct-1979,0,,,10,0,45449,90.9,23,f,0,0,6126.24,6104.36,3452.36,1790.2,0,883.68,156.020399987,Oct-2014,154.69,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066768,1300951,4000,4000,4000, 36 months,7.51,124.45,A,A3,Vibrato Grill Jazz etc...,< 1 year,RENT,65000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066768,,major_purchase,Boat Loan,902xx,CA,18.17,0,Oct-2002,0,,,10,0,10032,50.7,24,f,0,0,4182.25,4182.25,4000,182.25,0,0,0,Aug-2012,3313.87,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066617,1300806,1500,1500,1500, 36 months,17.27,53.69,D,D3,Walt Disney Co.,10+ years,MORTGAGE,144000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066617,  Borrower added on 12/12/11 > Debt Consol<br>,debt_consolidation,Debt consol,900xx,CA,8.23,1,Dec-1996,0,14,,6,0,14186,97.8,14,f,0,0,1521.6,1521.6,1500,21.6,0,0,0,Feb-2012,1521.89,,Feb-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1062015,1293857,19600,19600,19600, 36 months,12.42,654.94,B,B4,Ajel Technologies Inc,2 years,RENT,75000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062015,,credit_card,Personnel Loan,142xx,NY,11.62,0,Sep-2006,0,,,8,0,20355,50.1,12,f,0,0,21993.62,21993.62,19600,2393.62,0,0,0,Feb-2013,13491.06,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066598,1300783,2500,2500,2500, 36 months,11.71,82.69,B,B3,Bioscreen Clinical Servicesa,7 years,MORTGAGE,29000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066598,  Borrower added on 12/13/11 > Will use  to consolidate HIGH interest credit cards and loans.I have been at my job for 7 years and have paid all my creditors on time.Thank you<br>,debt_consolidation,debt,850xx,AZ,18.7,0,Sep-2005,0,63,,5,0,2668,66.7,13,f,0,0,2894.74,2894.74,2500,394.74,0,0,0,Nov-2013,1168.5,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1066503,1300476,10000,10000,10000, 36 months,12.69,335.45,B,B5,nor cal beverage,2 years,RENT,70000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066503,"  Borrower added on 12/12/11 > I plan to use my loan to pay off other credit cards that have a higher interest rate.  I am a good borrower because I pay my bills on time and they are not late.  My monthly bills add up to $1,850.00.  My job is very stable, I work in a company that has a high demand for the product that I make.<br>",credit_card,credit cards,956xx,CA,2.69,0,Oct-2000,0,,,5,0,6035,70.2,6,f,0,0,6351.59,6351.59,4513.35,1505.13,0,333.11,3.1464,Jul-2013,335.45,,Dec-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066530,1300506,10000,10000,10000, 36 months,6.62,307.04,A,A2,penske logistics,5 years,RENT,45000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066530,,credit_card,Credit Card,441xx,OH,26.85,0,Jun-1981,0,,,15,0,10133,70.4,40,f,0,0,11051.5237979,11051.52,10000,1051.52,0,0,0,Jan-2015,319.94,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066520,1300495,4225,4225,4225, 36 months,12.42,141.18,B,B4,King County Sheriffs Office,5 years,MORTGAGE,55200,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066520,,other,Other,983xx,WA,17.61,0,Dec-2002,1,,,6,0,4055,73.7,12,f,0,0,5081.02296079,5081.02,4225,856.02,0,0,0,Jan-2015,146.48,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1065929,1300072,3500,3500,3500, 36 months,7.9,109.52,A,A4,impax laboratory,7 years,MORTGAGE,61440,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065929,"  Borrower added on 12/16/11 > this will be my personal fund just in case , i don't worry getting more<br>",vacation,extra cash for vacation,945xx,CA,6.46,1,Jan-1997,0,9,,6,0,15472,55.5,19,f,0,0,3942.07852815,3942.08,3500,442.08,0,0,0,Jan-2015,3.62,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066582,1300766,12000,12000,12000, 36 months,6.62,368.45,A,A2,maroone chevrolet of west dade,10+ years,MORTGAGE,56000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066582,,debt_consolidation,Debt Consolidation,330xx,FL,13.65,0,May-2000,0,,,7,0,9873,80.3,21,f,0,0,13262.20515,13262.21,12000,1262.21,0,0,0,Jan-2015,381.02,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066348,1300722,16500,16500,16500, 36 months,8.9,523.93,A,A5,CH Robinson,< 1 year,RENT,47000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066348,"  Borrower added on 12/14/11 > I plan on consolidating all of my bills, I have an excellent credit score and would like to have loan paid off in less than 18 months!<br>",debt_consolidation,Debt Consolidation,604xx,IL,9.06,0,Mar-2001,1,,,6,0,13917,38.8,24,f,0,0,18856.7578214,18856.76,16500,2356.76,0,0,0,Dec-2014,1053.02,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061430,1293224,22000,22000,21975, 60 months,21.67,603.5,F,F3,Oxyheal health group,< 1 year,RENT,55000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061430,,debt_consolidation,Debt consolidation ,985xx,WA,15.62,0,Apr-2001,1,,,9,0,20154,79.4,27,f,0,0,25023.2,24994.78,22000.01,3023.19,0,0,0,Nov-2013,407.7,,Oct-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061519,1293522,12000,12000,12000, 36 months,14.65,413.94,C,C3,Social Security Administration - ODAR,1 year,RENT,71000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061519,"  Borrower added on 12/12/11 > Paying off some higher interest credit cards in order to consolidate debt.  The payment for this loan would actually SAVE money compared to &quot,minimum plus&quot, payments I have been regularly making.  In addition, it would allow me to close some credit lines and negotiate lower interest rates on remaining balances/accounts from a much stronger position.  I initially was planning on 15K, but the lower amount more closely matched my comfort level on monthly payments.  Happy Holidays and smart shopping!<br>",credit_card,CREDIT CARD CONSOLIDATION,672xx,KS,14.87,0,Jun-1999,2,,,15,0,17972,71,38,f,0,0,12430.36,12430.36,12000,430.36,0,0,0,Mar-2012,11605.56,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1066344,1300716,15600,15600,15600, 60 months,12.69,352.48,B,B5,corbett industries,10+ years,RENT,50000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066344,,vacation,vacation loan,109xx,NY,5.78,0,Jun-2003,1,,,8,0,8079,35.7,11,f,3968.14,3968.14,16894.08,16894.08,11631.87,5262.21,0,0,0,Jan-2016,352.48,Jan-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066480,1300453,10800,10800,10800, 36 months,12.42,360.89,B,B4,Hillstone Restaurant Group,8 years,RENT,135000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066480,,credit_card,Paying off Credit Cards,917xx,CA,12.12,0,Oct-2002,0,,,14,0,18467,74.5,23,f,0,0,13004.1428688,13004.14,10800,2204.14,0,0,0,Jan-2015,372.99,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066471,1300438,14000,14000,14000, 36 months,12.42,467.82,B,B4,CIty of Alpharetta,10+ years,MORTGAGE,63000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066471,,credit_card,Credit Card Refi 2011,300xx,GA,7.35,0,Nov-1993,0,,,5,0,17212,97.8,19,f,0,0,16789.0713659,16789.07,14000,2789.07,0,0,0,Sep-2014,2309.01,,Sep-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1064063,1296651,18825,18825,18800, 60 months,17.58,473.75,D,D4,executive plaza,4 years,MORTGAGE,44000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1064063,  Borrower added on 12/17/11 > I will use funds to pay-off current credit cards.and close all pending balances I have. I am very responsible with the credit obligations that I acquire.  I am confident with my job. It is very stable and secure as it is supported also by one of the best union in the contry.<br>,debt_consolidation,Debt Consolidation,113xx,NY,24.98,0,Jan-2000,0,65,,9,0,14092,93.2,20,f,5199.06,5192.07,22698.14,22668.18,13625.93,9072.21,0,0,0,Dec-2015,473.75,Jan-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066318,1300689,6000,6000,6000, 36 months,13.49,203.59,C,C1,,5 years,MORTGAGE,50000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066318,,debt_consolidation,Consolidation loan,880xx,NM,15.58,0,May-2003,1,49,,8,0,7361,83.6,14,f,0,0,7325.29896789,7325.3,6000,1325.3,0,0,0,Jan-2015,215.51,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066453,1300423,12000,12000,12000, 36 months,9.91,386.7,B,B1,Southern Methodist University,5 years,RENT,80000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066453,"  Borrower added on 12/13/11 > This loan offers a much better interest rate than any of my credit cards, and therefore I will be able to consolidate them and avoid excessive interest charges.  <br>",debt_consolidation,CC Consolidation,752xx,TX,14.83,0,Oct-2000,0,,,11,0,17536,67.7,21,f,0,0,13905.9971729,13906,12000,1906,0,0,0,Oct-2014,965.7,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1063090,1295591,10000,10000,10000, 36 months,12.42,334.16,B,B4,VirginiaMasonMedicalCenter,4 years,RENT,45000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1063090,  Borrower added on 12/12/11 > my credit cards jumped its interest rates and i hope my loan  will  approve so i can pay off all my debts<br> Borrower added on 12/14/11 > and hope my loan be issued before xmas happy holiday<br>,debt_consolidation,payoff credit cards,981xx,WA,10.45,0,Feb-2005,0,,,14,0,10177,51.6,19,f,0,0,12025.4706286,12025.47,10000,2025.47,0,0,0,Jan-2015,348.59,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061406,1293196,8000,8000,8000, 36 months,7.9,250.33,A,A4,kenover marketing,2 years,RENT,78000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061406,,vacation,vacation,112xx,NY,6.09,0,Jan-2006,1,,,16,0,15988,55.9,31,f,0,0,8846.24,8846.24,8000,846.24,0,0,0,Dec-2013,1095.85,,Dec-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066278,1300643,14125,14125,14125, 36 months,9.91,455.18,B,B1,Citizens Utility Board of Oregon,1 year,RENT,33000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066278,"  Borrower added on 12/12/11 > I've racked up a bit of credit card debt but I have a decent credit score.  I've already cut up my cards, I just really need help to get them down and manageable at a lower APR.   I've always been able to pay my bills on time, and this loan is definitely within my capabilities of paying off each month.<br><br>Thank you for your consideration.<br>",debt_consolidation,Debt Consolidation,972xx,OR,23.13,0,Dec-1997,3,,,12,0,19472,66,20,f,0,0,16055.99,16055.99,14125,1930.99,0,0,0,Dec-2013,6054.96,,Dec-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066281,1300646,14000,14000,14000, 36 months,12.69,469.63,B,B5,Philips Healthcare,5 years,RENT,62800,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066281,"  Borrower added on 12/12/11 > Plan to use this loan to payoff high interest credit cards (18-22% APR). Current total monthly payments being made are about $550.00/month, but with these payments the balance on these cards does not go down very much. With this 1 time loan to payoff these cards, and a set period to payoff the amount, this allows for me to know when the total balance will be paid off in full.<br>",debt_consolidation,Credit Card Consolidation,980xx,WA,19.24,0,Nov-1994,1,,,10,0,13579,64.5,18,f,0,0,16897.1798056,16897.18,14000,2897.18,0,0,0,Dec-2014,956.54,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1056150,1287925,13200,8975,8975, 60 months,17.27,224.36,D,D3,"Cardinal Health Stafford, Texas.",3 years,RENT,26400,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1056150,"  Borrower added on 12/12/11 > The loan is mainly meant for small businesses - (buying &amp, selling) of cars, trucks,equipment from the auctions. Part of the loan will be handy to pay off credit card debts.Actually I am an excellent borrower for I know how to honor repayment agreements which I believe will invariably open more doors toward my success.My monthly budget on this loan is $550.00, and I work with a reputable company in the health industry which affords me a great deal of job security for the last 3yrs and hopefully many more years to come.<br>",small_business,Business,770xx,TX,9.64,0,Nov-2006,3,,,8,0,7411,50.1,12,f,0,0,10200.26,10200.26,8975,1225.26,0,0,0,Nov-2012,8187.44,,Sep-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066434,1300402,4000,4000,4000, 36 months,19.03,146.69,E,E2,IBM,10+ years,MORTGAGE,80000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066434,,vacation,Loan2011,275xx,NC,20.59,1,Jul-1997,2,15,,30,0,6654,22.6,56,f,0,0,4340.62,4340.62,4000,340.62,0,0,0,Jan-2013,785.51,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1048526,1279867,4000,4000,4000, 36 months,12.69,134.18,B,B5,XOXO Salon,2 years,RENT,25000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1048526,,debt_consolidation,Car loan,802xx,CO,6.86,0,Feb-2005,3,,,5,0,8546,79.7,13,f,0,0,2022.66,2022.66,1373.86,498.22,0,150.58,1.55,Mar-2013,134.18,,Aug-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1028566,1257917,10500,10500,10500, 36 months,6.03,319.58,A,A1,DFW International Airport,10+ years,MORTGAGE,65000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1028566,,debt_consolidation,Credit Card Consolidation,760xx,TX,10.36,0,Nov-1981,0,,,8,0,10729,18.7,16,f,0,0,11503.7754683,11503.78,10500,1003.78,0,0,0,Dec-2014,643.26,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066424,1291243,5500,5500,5500, 36 months,7.9,172.1,A,A4,SCI Mahanoy,10+ years,OWN,59000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066424,"  Borrower added on 12/14/11 > I have a steady job where i have been for over 17yrs, with a good income. I plan on using the funds to purchase a vehicle.<br><br>  Borrower added on 12/15/11 > I see i put purchase in my previous statement. Sorry for the typo, but i'm trying to refinance my current loan to lower both my interest rate and payment, and with this lending club loan it does. Hope this helps. <br>",car,Car Loan,187xx,PA,6.65,0,Oct-1991,0,35,52,10,1,9130,43.3,23,f,0,0,6171.26713698,6171.27,5500,671.27,0,0,0,Jul-2014,1186.09,,Jul-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066212,1300569,7350,7350,7350, 36 months,11.71,243.11,B,B3,cyberpower,1 year,RENT,33000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066212,"  Borrower added on 12/12/11 > I'm paying off my higher apr credit card, in order to faster pay off my credit cards debt.<br>",debt_consolidation,Credit card payment,917xx,CA,22.51,0,May-1998,1,,,13,0,24782,77.9,23,f,0,0,8725.63245565,8725.63,7350,1375.63,0,0,0,Sep-2014,1204.05,,Sep-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1066232,1300594,10000,10000,10000, 36 months,12.42,334.16,B,B4,First National Bank of St. Louis,10+ years,RENT,39000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066232,,credit_card,credit card consolidation,630xx,MO,18.31,0,Aug-1998,1,,,7,0,11691,90.6,19,f,0,0,11604.88,11604.88,9635.96,1956.9,0,12.02,0,Apr-2014,4378.02,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1056219,1287799,12000,12000,12000, 36 months,7.51,373.33,A,A3,wolverton Inc.,10+ years,RENT,42000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1056219,  Borrower added on 12/12/11 > paying off higher interest credit cards.<br>,debt_consolidation,debt consolidation,435xx,OH,10.74,0,Jun-1994,1,,,7,0,18913,43,17,f,0,0,13456.3231235,13456.32,12000,1441.33,14.990682475,0,0,Jan-2015,24.36,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066199,1300556,5000,5000,5000, 60 months,11.71,110.5,B,B3,Sparrow Health,5 years,MORTGAGE,38004,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066199,  Borrower added on 12/12/11 > We are looking for a loan to help pay for a furance. This past weekend we found out we needed to replace our furance the fact that its winter here in Michigan we need to get this done fast. You will see I have good credit. I do not miss payments and have 0% loans. I called our local bank today and they said the loan could take up to two weeks to fund! I dread staying with my parents that long!!!<br>,home_improvement,Floor,488xx,MI,23.78,0,Nov-2006,0,,,12,0,10023,57.3,17,f,0,0,6534.43,6534.43,5000,1534.43,0,0,0,Oct-2015,1561.93,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1060851,1292817,8000,8000,8000, 60 months,11.71,176.79,B,B3,Multisensory Learning Academy,3 years,OWN,31000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1060851,"  Borrower added on 12/15/11 > Mortgage and expenses are no higher than $1500 month.<br>Very Stable Income &amp, High Credit Score.<br>Never missed a payment on anything.<br>Need in being able to pay for an upcoming surgery.<br>Thank you<br><br><br><br><br>  Borrower added on 12/19/11 > I need to have the money by this next week to pay in full. I still have a ways to go to get to 8k. Your help is VERY appreciated, and will be paid back in a good timely manner.<br><br> Borrower added on 12/19/11 > I need to have the money by this next week to pay in full. I still have a ways to go to get to 8k. Your help is VERY appreciated, and will be paid back in a good timely manner.<br>",other,Other,972xx,OR,16.22,0,Mar-2006,3,,,13,0,2751,34.4,29,f,0,0,8306.47,8306.47,8000,306.47,0,0,0,May-2012,7778.22,,May-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,972383,1194336,4500,4500,4500, 36 months,8.9,142.89,A,A5,New Buck Corporation,10+ years,MORTGAGE,50700,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=972383,  Borrower added on 12/12/11 > To payoff an auto loan and finish restoring my 1960 MGA<br><br> Borrower added on 12/12/11 > To payoff an auto loan and finish restoring my 1960 MGA<br>,other,restore classic car,287xx,NC,23.43,0,Sep-1996,0,,,10,0,9127,24.4,20,f,0,0,5050.37,5050.37,4500,550.37,0,0,0,Dec-2013,1912.16,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066191,1300547,18000,18000,17975, 36 months,12.42,601.48,B,B4,National Park Service,1 year,OWN,75000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066191,,credit_card,Paydown CC Loan,705xx,LA,12.51,0,Apr-1991,2,,,9,0,14810,66.1,27,f,0,0,21629.2435137,21599.23,18000,3629.24,0,0,0,Oct-2014,1805.88,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1066173,1300526,12300,12300,12300, 60 months,13.49,282.96,C,C1,gem city motors,2 years,MORTGAGE,30000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066173,,debt_consolidation,no more bills,592xx,MT,12.76,0,Nov-2002,1,,,8,0,10981,55.5,12,f,3174.77,3174.77,13556.6,13556.6,9125.24,4431.36,0,0,0,Dec-2015,282.96,Jan-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066379,1300340,12000,12000,12000, 36 months,13.49,407.17,C,C1,Quad Graphics,6 years,RENT,40000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066379,,debt_consolidation,Debt Consolidation,318xx,GA,15.72,0,Aug-1999,0,77,,8,0,10790,80.5,13,f,0,0,12761.93,12761.93,12000,761.93,0,0,0,Jul-2012,10731.86,,Jul-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066364,1300323,10000,10000,10000, 36 months,13.49,339.31,C,C1,St. Joseph Hospital,10+ years,MORTGAGE,50000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066364,  Borrower added on 12/13/11 > I plan to use this loan to refinance my credit cards as well as purchase a small economy car for my 100 mile round trip commute. Gas is killing me.<br>I work in healthcare and have been employed by the same company for the past 12 years<br>,credit_card,CC refi,928xx,CA,5.88,1,Sep-1998,2,13,,5,0,8899,47.6,15,f,0,0,12077.3273066,12077.33,10000,2077.33,0,0,0,Apr-2014,2939.1,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066140,1300296,6000,6000,6000, 36 months,7.9,187.75,A,A4,Musco Lighting,7 years,MORTGAGE,80000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066140,,other,Snowmobile Purchase,549xx,WI,8.87,0,Jul-1993,4,,,8,0,19071,30.3,29,f,0,0,6633.12,6633.12,6000,633.12,0,0,0,Nov-2013,2695.52,,Oct-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1066171,1300523,12000,12000,12000, 36 months,12.69,402.54,B,B5,Chesapeak Process Service Inc,4 years,RENT,40000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066171,"  Borrower added on 12/12/11 > I want to use this loan to consolidate my higher interest credit cards.<br><br>  Borrower added on 12/16/11 > All of my credit cards are at least 19% or more so this loan is really going to help me out :)<br><br> Borrower added on 12/16/11 > All of my credit cards are at least 19% or higher....one is 28%...so this loan is really going to help me out :)<br><br> Borrower added on 12/16/11 > I am a good borrower because I have never missed a payment on any of my loans or credit cards ever since I received my first credit card.  I have been at my job since 2007 and I am excelling every year within my company.<br><br> Borrower added on 12/17/11 > A year ago I moved into a relatives home, rent free, so I could focus on paying more then minium payments on my credit cards.   So far it has helped, but not as much as I want it to because of all the high interest rates.   With this loan I will know within three years or less, i will be debt free!<br>",debt_consolidation,Debt Consolidation,212xx,MD,22.2,0,Nov-1998,1,,,9,0,16273,55.5,23,f,0,0,14006.68,14006.68,12000,2006.68,0,0,0,Oct-2013,5971.51,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1066162,1300514,12000,12000,12000, 36 months,8.9,381.04,A,A5,"Time Escrow, Inc.",7 years,RENT,80000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1066162,  Borrower added on 12/13/11 > Im just trying to consolidate my credit card debts. <br>,other,credit card consolidating,900xx,CA,9.13,0,Oct-2003,0,,,8,0,13088,83.5,16,f,0,0,10411.4,10411.4,8330.52,1564.56,0,516.32,5.0436,Mar-2014,381.04,,Jul-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
